Flavour,BrewID
American Pale Ale (APA),83
American Pale Ale (APA),83
American Pale Wheat Ale,83
American Pale Wheat Ale,83
Czech Pilsener,83
Czech Pilsener,83
German Pilsener,83
German Pilsener,83
Maibock / Helles Bock,83
Maibock / Helles Bock,83
Rye Beer,83
Rye Beer,83
American Amber / Red Ale,84
American Amber / Red Ale,84
American Blonde Ale,84
American Blonde Ale,84
American Brown Ale,84
American Brown Ale,84
American Brown Ale,84
American Brown Ale,84
American Pale Ale (APA),84
American Pale Ale (APA),84
Scottish Ale,84
Scottish Ale,84
Witbier,84
Witbier,84
American Amber / Red Ale,85
American Amber / Red Ale,85
American Double / Imperial IPA,86
American Double / Imperial IPA,86
Märzen / Oktoberfest,86
Märzen / Oktoberfest,86
American IPA,87
American IPA,87
American Pale Wheat Ale,87
American Pale Wheat Ale,87
American Pale Ale (APA),88
American Pale Ale (APA),88
American Pale Ale (APA),88
American Pale Ale (APA),88
American Pale Wheat Ale,88
American Pale Wheat Ale,88
American Pale Wheat Ale,88
American Pale Wheat Ale,88
American Pale Wheat Ale,88
American Pale Wheat Ale,88
American Amber / Red Ale,89
American Amber / Red Ale,89
American Pilsner,90
American Pilsner,90
American Amber / Red Ale,91
American Amber / Red Ale,91
American Blonde Ale,91
American Blonde Ale,91
American Brown Ale,91
American Brown Ale,91
American Double / Imperial IPA,91
American Double / Imperial IPA,91
American IPA,91
American IPA,91
American Pale Ale (APA),91
American Pale Ale (APA),91
Fruit / Vegetable Beer,91
Fruit / Vegetable Beer,91
Kölsch,91
Kölsch,91
Winter Warmer,91
Winter Warmer,91
American Amber / Red Ale,92
American Amber / Red Ale,92
American IPA,92
American IPA,92
American IPA,92
American IPA,92
English Brown Ale,92
English Brown Ale,92
Fruit / Vegetable Beer,92
Fruit / Vegetable Beer,92
American Amber / Red Ale,93
American Amber / Red Ale,93
American Amber / Red Ale,93
American Amber / Red Ale,93
American Blonde Ale,93
American Blonde Ale,93
American IPA,93
American IPA,93
American Pale Ale (APA),93
American Pale Ale (APA),93
American Pale Ale (APA),93
American Pale Ale (APA),93
American Porter,93
American Porter,93
Märzen / Oktoberfest,93
Märzen / Oktoberfest,93
American IPA,94
American IPA,94
American IPA,94
American IPA,94
Cream Ale,94
Cream Ale,94
Oatmeal Stout,94
Oatmeal Stout,94
Rye Beer,95
Rye Beer,95
American Brown Ale,96
American Brown Ale,96
American Porter,96
American Porter,96
American Amber / Red Ale,97
American Amber / Red Ale,97
American IPA,97
American IPA,97
American Pilsner,97
American Pilsner,97
Doppelbock,97
Doppelbock,97
Doppelbock,97
Doppelbock,97
American Double / Imperial IPA,98
American Double / Imperial IPA,98
American IPA,98
American IPA,98
American Pale Ale (APA),98
American Pale Ale (APA),98
Belgian Pale Ale,98
Belgian Pale Ale,98
American Double / Imperial IPA,99
American Double / Imperial IPA,99
American Amber / Red Ale,100
American Amber / Red Ale,100
American IPA,100
American IPA,100
American Porter,100
American Porter,100
Herbed / Spiced Beer,100
Herbed / Spiced Beer,100
American Amber / Red Ale,101
American Amber / Red Ale,101
American Amber / Red Ale,101
American Amber / Red Ale,101
American IPA,101
American IPA,101
Kölsch,101
Kölsch,101
American Amber / Red Ale,102
American Amber / Red Ale,102
American Blonde Ale,102
American Blonde Ale,102
American IPA,102
American IPA,102
Czech Pilsener,102
Czech Pilsener,102
Hefeweizen,102
Hefeweizen,102
American IPA,103
American IPA,103
American Pale Ale (APA),103
American Pale Ale (APA),103
Fruit / Vegetable Beer,103
Fruit / Vegetable Beer,103
